date,tot_cases,tot_cases_conf,tot_cases_prob,tot_deaths,tot_deaths_conf,tot_deaths_prob,new_cases,new_deaths,audit_deaths,new_cases_conf,new_cases_prob,new_deaths_conf,new_deaths_prob,new_cases_18_and_under,new_cases_18_and_under_conf,new_cases_18_and_under_prob,actual_deaths
2021-04-23,440149,333149.0,107000.0,6403.0,5783.0,620.0,607.0,5.0,17.0,378.0,229.0,5.0,0.0,119.0,68.0,51.0,6.0
2021-04-22,439551,332786.0,106765.0,6381.0,5766.0,615.0,628.0,5.0,3.0,410.0,218.0,5.0,0.0,137.0,85.0,52.0,7.0
2021-04-21,438927,332371.0,106556.0,6373.0,5758.0,615.0,785.0,7.0,6.0,463.0,322.0,7.0,0.0,165.0,84.0,81.0,2.0
2021-04-20,438147,331920.0,106227.0,6360.0,5747.0,613.0,609.0,7.0,6.0,325.0,284.0,7.0,0.0,121.0,59.0,62.0,7.0
2021-04-19,437543,331565.0,105978.0,6347.0,5736.0,611.0,231.0,4.0,5.0,149.0,82.0,2.0,2.0,54.0,32.0,22.0,6.0
2021-04-18,437312,331407.0,105905.0,6338.0,5730.0,608.0,275.0,4.0,4.0,188.0,87.0,4.0,0.0,45.0,34.0,11.0,3.0
2021-04-17,437037,331221.0,105816.0,6330.0,5723.0,607.0,599.0,3.0,10.0,364.0,235.0,3.0,0.0,132.0,69.0,63.0,4.0
2021-04-16,436445,330855.0,105590.0,6317.0,5711.0,606.0,713.0,10.0,5.0,417.0,296.0,7.0,3.0,175.0,91.0,84.0,4.0
2021-04-15,435743,330448.0,105295.0,6302.0,5701.0,601.0,834.0,17.0,0.0,533.0,301.0,13.0,4.0,166.0,101.0,65.0,3.0
2021-04-14,434922,329906.0,105016.0,6285.0,5688.0,597.0,782.0,14.0,10.0,427.0,355.0,12.0,2.0,155.0,76.0,79.0,6.0
2021-04-13,434148,329470.0,104678.0,6261.0,5668.0,593.0,799.0,3.0,1.0,428.0,371.0,3.0,0.0,157.0,75.0,82.0,5.0
2021-04-12,433352,329045.0,104307.0,6257.0,5664.0,593.0,270.0,7.0,0.0,172.0,98.0,7.0,0.0,52.0,29.0,23.0,3.0
2021-04-11,433085,328804.0,104281.0,6250.0,5657.0,593.0,366.0,8.0,1.0,274.0,92.0,8.0,0.0,77.0,55.0,22.0,8.0
2021-04-10,432720,328529.0,104191.0,6241.0,5649.0,592.0,505.0,10.0,8.0,302.0,203.0,10.0,0.0,85.0,48.0,37.0,3.0
2021-04-09,432220,328271.0,103949.0,6223.0,5631.0,592.0,744.0,4.0,5.0,489.0,255.0,4.0,0.0,104.0,65.0,39.0,1.0
2021-04-08,431487,327777.0,103710.0,6214.0,5622.0,592.0,645.0,16.0,0.0,380.0,265.0,15.0,1.0,107.0,68.0,39.0,8.0
